 [2025-05-20 19:47:16.967897] IP: 127.0.0.1 | Type: SQLi | Payload:    ' OR '1'='1 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:32.769290] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyA.wSjmFnn4bmYq_NsvSXE7rtBk_aw ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:32.937250] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyA.wSjmFnn4bmYq_NsvSXE7rtBk_aw ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:33.332344] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyA.wSjmFnn4bmYq_NsvSXE7rtBk_aw ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:33.698612] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyQ.BZ023kGwAEiZjp-hG-kPL8iPEH8 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:34.043602] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyQ.BZ023kGwAEiZjp-hG-kPL8iPEH8 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:34.379051] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyg.UiHrSXyfTNA83oEok1sWuCGFct8 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:34.751997] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyg.UiHrSXyfTNA83oEok1sWuCGFct8 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:35.093013] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyg.UiHrSXyfTNA83oEok1sWuCGFct8 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:35.465452] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyw.Y1_c0tB4F_wmQJ_C4TgdwJttHKQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:35.800880] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyw.Y1_c0tB4F_wmQJ_C4TgdwJttHKQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:36.159443] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzyw.Y1_c0tB4F_wmQJ_C4TgdwJttHKQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:36.534748] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzA.gj532moh149AZRXMv3-RJdYbBUg ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:36.900655] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzA.gj532moh149AZRXMv3-RJdYbBUg ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:37.270699] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzA.gj532moh149AZRXMv3-RJdYbBUg ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:37.683358] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzQ.tf8MDmOSJXqYIQyFmdd-ar2VVqU ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:37.883700] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzQ.tf8MDmOSJXqYIQyFmdd-ar2VVqU ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:38.078091] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzQ.tf8MDmOSJXqYIQyFmdd-ar2VVqU ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:38.482942] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzg.iALw156xTgl4XLJPE4Nqpo94R-4 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:38.678277] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzg.iALw156xTgl4XLJPE4Nqpo94R-4 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:39.085240] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzg.iALw156xTgl4XLJPE4Nqpo94R-4 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:39.499415] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzw.eJgqDBB-zXed3qV7UYNROOgm83g ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:40.844279] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyzzw.eJgqDBB-zXed3qV7UYNROOgm83g ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:41.220542] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz0A.kaXRxXsTyME2UgOyER-E1gkGlxU ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:41.592710] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz0Q._C9lzb9MRYJKqs06XxIY4paNKaE ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:41.819625] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz0Q._C9lzb9MRYJKqs06XxIY4paNKaE ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:42.230831] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz0Q._C9lzb9MRYJKqs06XxIY4paNKaE ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:49.408363] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz0g.GFq0ExSG6YE1FsjCIfJ4HTgNeqQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:49.567103] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2Q.-ympKgX7Sj-67dOgjP1M-Zw9mFQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:49.769522] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2Q.-ympKgX7Sj-67dOgjP1M-Zw9mFQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:49.949154] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2Q.-ympKgX7Sj-67dOgjP1M-Zw9mFQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:50.138790] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2Q.-ympKgX7Sj-67dOgjP1M-Zw9mFQ ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:50.343691] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2g.kF_LREpotRkxHay0qtIz7VVS3rw ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:50.703711] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2g.kF_LREpotRkxHay0qtIz7VVS3rw ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:51.023948] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2g.kF_LREpotRkxHay0qtIz7VVS3rw ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:51.349806] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2w.frgm1LYlGLtZHwiE7x-DW35dGp0 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:51.545326] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2w.frgm1LYlGLtZHwiE7x-DW35dGp0 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:51.884257] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2w.frgm1LYlGLtZHwiE7x-DW35dGp0 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:52.192187] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz2w.frgm1LYlGLtZHwiE7x-DW35dGp0 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:52.540125] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3A.2OpOIjPL7LZ497Vxf8mcz8C8PRY ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:52.952091] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3A.2OpOIjPL7LZ497Vxf8mcz8C8PRY ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:53.278959] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3A.2OpOIjPL7LZ497Vxf8mcz8C8PRY ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:53.628536] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3Q.Vx3nL3cFxmscnOjVMLhtaZjZD00 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:53.974717] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3Q.Vx3nL3cFxmscnOjVMLhtaZjZD00 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:54.338909] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3Q.Vx3nL3cFxmscnOjVMLhtaZjZD00 ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:54.713426] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3g.IuVZnvs29Pu82PmqP-YIrDQRRgo ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:55.096236] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3g.IuVZnvs29Pu82PmqP-YIrDQRRgo ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
[2025-05-20 19:54:55.477276] IP: 127.0.0.1 | Type: CMD Injection | Payload: IjA4YzNkYzMzOTA3YTlhOGY5OTRjMmJmNjliODk1ZDY2ZDk1YzQyZGUi.aCyz3w.FkteVbMlCM_4nlHi-Vvxl2goTjk ; ls ≈—”«· | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 | URL: http://127.0.0.1:5000/
